id;code;name;account_type;internal_group
183;151000;Activo fijo;asset_fixed;asset
184;191000;Activos no corrientes;asset_non_current;asset
185;201000;Pasivo circulante;liability_current;liability
186;211000;Cuenta por pagar;liability_payable;liability
187;211100;facturas a recibir;liability_current;liability
188;251000;Impuesto Recibido;liability_current;liability
189;252000;Impuesto a pagar;liability_current;liability
190;291000;Pasivos no corrientes;liability_non_current;liability
191;301000;Capital;equity;equity
192;302000;Dividendos;equity;equity
193;400000;Venta de productos;income;income
194;441000;Ganancia cambiaria;income;income
195;442000;Ganancia por diferencia en efectivo;income;income
196;450000;Otros Ingresos;income_other;income
197;500000;Costo de los bienes vendidos;expense_direct_cost;expense
198;600000;Gastos;expense;expense
199;611000;Compra de Equipos;expense;expense
200;612000;Alquiler;expense;expense
201;620000;Comisiones bancarias;expense;expense
202;630000;Gastos Salariales;expense;expense
203;641000;Pérdida cambiaria;expense;expense
204;642000;Pérdida de diferencia de efectivo;expense;expense
205;961000;Gastos de RD;expense;expense
206;962000;Gastos de venta;expense;expense
207;101300;Cuenta por cobrar (PoS);asset_receivable;asset
208;643000;Pérdida de descuento en efectivo;expense;expense
209;443000;Ganancia de descuento en efectivo;income;income
210;101401;cuenta transitoria;asset_current;asset
211;101402;Recibos pendientes;asset_current;asset
212;101403;Pagos pendientes;asset_current;asset
213;101501;Efectivo;asset_cash;asset
214;101404;Banco;asset_cash;asset
215;999999;Ganancias/pérdidas no distribuidas;equity_unaffected;equity
216;101010;Activos circulantes (copia);asset_current;asset
